0,pubid,applicants,title,fieldWords,funcWords,problemWords,techWords,similar
41,CN85100044A,清华大学,深水池式供热堆,供热堆|低温|深水池,简单小大|保性能|具有安全|简单高安全|持简单|简单有|简单高|简单安全小|性能优|度安全性|提结构简单|明结构简单|简单性|本结构简单|供结构简单|提高经济|简单性小|简单小|安全小高|提供结构|简单小高|简单安全|简单度性能|简单有安全|持简单高|简单经济|简单高小|安全性好|提供热|简单高广|提高效|简单性能|保安全|有安全性|高安全|提高温度|提高水|保结构简单|简单能|安全性能|结构简单|安全经济|构简单|安全小|提高度|提供简单|明简单|安全性|持结构简单|结构安全|简单小少|提效益|简单小光|简单安全性|安全好|简单度|本提供简单|简单高少|保持简单,,供热堆|低温,51.111111111111114
42,CN85100366A,陈家山,水压式波浪能发电装置,水压式|波浪能发电,提高时|增加用|明降低|低提高|提高用|降低小高|降低时|提高数|成本高少|提高电能|降低量|增加小|降低质量|成本高小|降低用|提高小|提高能|提高量|降低电能|能成本|成本高|降低数|降低小|降成本|降低能|和增加|成本小,,箱式,51.111111111111114
43,CN85102604A,福建师范大学,树脂型锡焊助焊剂,助焊剂|软钎焊|树脂型|锡焊,时提高性|方便成本|性能性|提高性|方便降|性能高|提高率|降低成本|方便降成本|降成本|便降低|方便低|低成本|方便成|取方便|可自动|方便降低|提高绝缘性,,助焊剂|树脂型|软钎焊,51.111111111111114
44,CN85200136U,南京工学院,温度程序控制仪,控制|温度测量|程序控制|温度,提高性|降低成本|降成本|低成本|减少数量|简化电路,,控制|温度测量,51.111111111111114
45,CN85200412U,首都钢铁公司,双曲线型内结晶器,生产|铸管|双曲线型|连续|结晶器,提高质量|提高量,,生产|铸管|铁管|双曲线型|连续,51.111111111111114
46,CN85200302U,田守信,一种带匙轮的综合播种机,带匙,提高均匀性|高均匀|提高性|提高均匀,,带匙,51.111111111111114
47,CN85200247U,吴承远,带密闭膜的双通道静脉输液导管,特别|静脉|双通道|输液导管|密闭,方便等|提效率|操方便|提高效|提高率|提效率质量|减轻强|避免方便|提高疗效|强耐好|操作方便|劳动强度|提高量,,特别|静脉|双通道|输液导管|密闭,51.111111111111114
48,CN85200357U,陶增蜀,带遥控盒的可控硅调压系统,调压|可控硅,提高性|提性能|本简单高|简单性|本结构简单|简单性高|可靠性高|可靠性|提高性能|提高操性性|置结构简单|提高能|简单高广|装结构简单|提高系|结构简单|构简单|装置简单|提高系统|简单高|简单高少|明显提高,,可控硅,51.111111111111114
49,CN85200373U,重庆工业自动化仪表研究所,无开关动态电子轨道衡,轨道衡|动态|电子|重量|车头|行进|水车|列车|自动识别,提高性|提高系统|降低成本|降成本|低成本|提高系,,轨道衡|动态|电子|重量|车头|行进|水车|列车|自动识别,51.111111111111114
50,CN85200264U,南京工学院,多层平面的压电薄膜水听器,超声|特别|波形|100|压电薄膜|频段|多层平面|声传感|50|窄脉冲|HZ|水听器,型提高|用灵敏度|结构提高|提高灵敏|提高灵敏度|提高度,,超声|特别|波形|100|频段|声传感|50|窄脉冲|HZ|水听器,51.111111111111114
